ProvinciaId;CentroId;DivisionId;DepartamentoId;A¤o;Mes ;Visitas
1;1;1;1;2022;1;100000
1;1;1;1;2022;2;200000
1;1;1;1;2022;3;300000
1;1;1;1;2022;4;400000
1;1;1;1;2022;5;500000
1;1;1;1;2022;6;600000
1;1;1;1;2022;7;700000
1;1;1;1;2022;8;800000
1;1;1;1;2022;9;900000
1;1;1;1;2022;10;1000000
1;1;1;1;2022;11;1100000
1;1;1;1;2022;12;1200000
1;1;1;1;2023;1;100000
1;1;1;1;2023;2;200000
1;1;1;1;2023;3;300000
1;1;1;1;2023;4;400000
1;1;1;1;2023;5;500000
1;1;1;1;2023;6;600000
1;1;1;1;2023;7;700000
1;1;1;1;2023;8;800000
1;1;1;1;2023;9;900000
1;1;1;1;2023;10;1000000
1;1;1;1;2023;11;1100000
1;1;1;1;2023;12;1200000
1;1;1;1;2024;1;100000
1;1;1;1;2024;2;120000
1;1;1;2;2022;1;100000
1;1;1;2;2022;2;200000
1;1;1;2;2022;3;300000
1;1;1;2;2022;4;400000
1;1;1;2;2022;5;500000
1;1;1;2;2022;6;600000
1;1;1;2;2022;7;700000
1;1;1;2;2022;8;800000
1;1;1;2;2022;9;900000
1;1;1;2;2022;10;1000000
1;1;1;2;2022;11;1100000
1;1;1;2;2022;12;1200000
1;1;1;2;2023;1;100000
1;1;1;2;2023;2;200000
1;1;1;2;2023;3;300000
1;1;1;2;2023;4;400000
1;1;1;2;2023;5;500000
1;1;1;2;2023;6;600000
1;1;1;2;2023;7;700000
1;1;1;2;2023;8;800000
1;1;1;2;2023;9;900000
1;1;1;2;2023;10;1000000
1;1;1;2;2023;11;1100000
1;1;1;2;2023;12;1200000
1;1;1;2;2024;1;100000
1;1;1;2;2024;2;120000
1;1;1;3;2022;1;100000
1;1;1;3;2022;2;200000
1;1;1;3;2022;3;300000
1;1;1;3;2022;4;400000
1;1;1;3;2022;5;500000
1;1;1;3;2022;6;600000
1;1;1;3;2022;7;700000
1;1;1;3;2022;8;800000
1;1;1;3;2022;9;900000
1;1;1;3;2022;10;1000000
1;1;1;3;2022;11;1100000
1;1;1;3;2022;12;1200000
1;1;1;3;2023;1;100000
1;1;1;3;2023;2;200000
1;1;1;3;2023;3;300000
1;1;1;3;2023;4;400000
1;1;1;3;2023;5;500000
1;1;1;3;2023;6;600000
1;1;1;3;2023;7;700000
1;1;1;3;2023;8;800000
1;1;1;3;2023;9;900000
1;1;1;3;2023;10;1000000
1;1;1;3;2023;11;1100000
1;1;1;3;2023;12;1200000
1;1;1;3;2024;1;100000
1;1;1;3;2024;2;120000
1;1;2;1;2022;1;100000
1;1;2;1;2022;2;200000
1;1;2;1;2022;3;300000
1;1;2;1;2022;4;400000
1;1;2;1;2022;5;500000
1;1;2;1;2022;6;600000
1;1;2;1;2022;7;700000
1;1;2;1;2022;8;800000
1;1;2;1;2022;9;900000
1;1;2;1;2022;10;1000000
1;1;2;1;2022;11;1100000
1;1;2;1;2022;12;1200000
1;1;2;1;2023;1;100000
1;1;2;1;2023;2;200000
1;1;2;1;2023;3;300000
1;1;2;1;2023;4;400000
1;1;2;1;2023;5;500000
1;1;2;1;2023;6;600000
1;1;2;1;2023;7;700000
1;1;2;1;2023;8;800000
1;1;2;1;2023;9;900000
1;1;2;1;2023;10;1000000
1;1;2;1;2023;11;1100000
1;1;2;1;2023;12;1200000
1;1;2;1;2024;1;100000
1;1;2;1;2024;2;120000
1;1;2;2;2022;1;100000
1;1;2;2;2022;2;200000
1;1;2;2;2022;3;300000
1;1;2;2;2022;4;400000
1;1;2;2;2022;5;500000
1;1;2;2;2022;6;600000
1;1;2;2;2022;7;700000
1;1;2;2;2022;8;800000
1;1;2;2;2022;9;900000
1;1;2;2;2022;10;1000000
1;1;2;2;2022;11;1100000
1;1;2;2;2022;12;1200000
1;1;2;2;2023;1;100000
1;1;2;2;2023;2;200000
1;1;2;2;2023;3;300000
1;1;2;2;2023;4;400000
1;1;2;2;2023;5;500000
1;1;2;2;2023;6;600000
1;1;2;2;2023;7;700000
1;1;2;2;2023;8;800000
1;1;2;2;2023;9;900000
1;1;2;2;2023;10;1000000
1;1;2;2;2023;11;1100000
1;1;2;2;2023;12;1200000
1;1;2;2;2024;1;100000
1;1;2;2;2024;2;120000
1;1;2;3;2022;1;100000
1;1;2;3;2022;2;200000
1;1;2;3;2022;3;300000
1;1;2;3;2022;4;400000
1;1;2;3;2022;5;500000
1;1;2;3;2022;6;600000
1;1;2;3;2022;7;700000
1;1;2;3;2022;8;800000
1;1;2;3;2022;9;900000
1;1;2;3;2022;10;1000000
1;1;2;3;2022;11;1100000
1;1;2;3;2022;12;1200000
1;1;2;3;2023;1;100000
1;1;2;3;2023;2;200000
1;1;2;3;2023;3;300000
1;1;2;3;2023;4;400000
1;1;2;3;2023;5;500000
1;1;2;3;2023;6;600000
1;1;2;3;2023;7;700000
1;1;2;3;2023;8;800000
1;1;2;3;2023;9;900000
1;1;2;3;2023;10;1000000
1;1;2;3;2023;11;1100000
1;1;2;3;2023;12;1200000
1;1;2;3;2024;1;100000
1;1;2;3;2024;2;120000
1;1;3;1;2022;1;100000
1;1;3;1;2022;2;200000
1;1;3;1;2022;3;300000
1;1;3;1;2022;4;400000
1;1;3;1;2022;5;500000
1;1;3;1;2022;6;600000
1;1;3;1;2022;7;700000
1;1;3;1;2022;8;800000
1;1;3;1;2022;9;900000
1;1;3;1;2022;10;1000000
1;1;3;1;2022;11;1100000
1;1;3;1;2022;12;1200000
1;1;3;1;2023;1;100000
1;1;3;1;2023;2;200000
1;1;3;1;2023;3;300000
1;1;3;1;2023;4;400000
1;1;3;1;2023;5;500000
1;1;3;1;2023;6;600000
1;1;3;1;2023;7;700000
1;1;3;1;2023;8;800000
1;1;3;1;2023;9;900000
1;1;3;1;2023;10;1000000
1;1;3;1;2023;11;1100000
1;1;3;1;2023;12;1200000
1;1;3;1;2024;1;100000
1;1;3;1;2024;2;120000
1;1;3;2;2022;1;100000
1;1;3;2;2022;2;200000
1;1;3;2;2022;3;300000
1;1;3;2;2022;4;400000
1;1;3;2;2022;5;500000
1;1;3;2;2022;6;600000
1;1;3;2;2022;7;700000
1;1;3;2;2022;8;800000
1;1;3;2;2022;9;900000
1;1;3;2;2022;10;1000000
1;1;3;2;2022;11;1100000
1;1;3;2;2022;12;1200000
1;1;3;2;2023;1;100000
1;1;3;2;2023;2;200000
1;1;3;2;2023;3;300000
1;1;3;2;2023;4;400000
1;1;3;2;2023;5;500000
1;1;3;2;2023;6;600000
1;1;3;2;2023;7;700000
1;1;3;2;2023;8;800000
1;1;3;2;2023;9;900000
1;1;3;2;2023;10;1000000
1;1;3;2;2023;11;1100000
1;1;3;2;2023;12;1200000
1;1;3;2;2024;1;100000
1;1;3;2;2024;2;120000
1;1;3;3;2022;1;100000
1;1;3;3;2022;2;200000
1;1;3;3;2022;3;300000
1;1;3;3;2022;4;400000
1;1;3;3;2022;5;500000
1;1;3;3;2022;6;600000
1;1;3;3;2022;7;700000
1;1;3;3;2022;8;800000
1;1;3;3;2022;9;900000
1;1;3;3;2022;10;1000000
1;1;3;3;2022;11;1100000
1;1;3;3;2022;12;1200000
1;1;3;3;2023;1;100000
1;1;3;3;2023;2;200000
1;1;3;3;2023;3;300000
1;1;3;3;2023;4;400000
1;1;3;3;2023;5;500000
1;1;3;3;2023;6;600000
1;1;3;3;2023;7;700000
1;1;3;3;2023;8;800000
1;1;3;3;2023;9;900000
1;1;3;3;2023;10;1000000
1;1;3;3;2023;11;1100000
1;1;3;3;2023;12;1200000
1;1;3;3;2024;1;100000
